,0,0
0,0,1
1,1,0
2,2,1
3,3,0
4,4,1
5,5,0
6,6,1
7,7,0
8,8,0
9,9,0
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,0
17,17,1
18,18,1
19,19,0
20,20,1
21,21,1
22,22,0
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,0
29,29,1
30,30,1
31,31,0
32,32,0
33,33,0
34,34,1
35,35,1
36,36,0
37,37,1
38,38,0
39,39,1
40,40,0
41,41,1
42,42,1
43,43,1
44,44,0
45,45,1
46,46,0
47,47,1
48,48,0
49,49,1
50,50,1
51,51,1
52,52,1
53,53,0
54,54,1
55,55,0
56,56,0
57,57,0
58,58,1
59,59,0
60,60,0
61,61,1
62,62,1
63,63,0
64,64,0
65,65,1
66,66,1
67,67,1
68,68,1
69,69,0
70,70,0
71,71,1
72,72,0
73,73,0
74,74,1
75,75,1
76,76,1
77,77,0
78,78,0
79,79,1
80,80,0
81,81,0
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,0
88,88,1
89,89,0
90,90,0
91,91,0
92,92,1
93,93,0
94,94,1
95,95,0
96,96,0
97,97,0
98,98,1
99,99,0
100,100,0
101,101,1
102,102,1
103,103,0
104,104,0
105,105,1
106,106,1
107,107,0
108,108,0
109,109,1
110,110,0
111,111,1
112,112,1
113,113,0
114,114,0
115,115,1
116,116,0
117,117,0
118,118,1
119,119,1
120,120,0
121,121,0
122,122,0
123,123,0
124,124,0
125,125,0
126,126,0
127,127,1
128,128,0
129,129,0
130,130,0
131,131,0
132,132,0
133,133,0
134,134,0
135,135,0
136,136,0
137,137,0
138,138,0
139,139,0
140,140,0
141,141,0
142,142,0
143,143,1
144,144,0
145,145,0
146,146,0
147,147,0
148,148,0
149,149,0
150,150,0
151,151,0
152,152,1
153,153,1
